epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,503.254,0.96992,1.74905,0.90858,0.00172,0.16667,0.16544,0.14073,0.89573,4.09202,0.85764,0.0002149,0.0002149,0.0002149
72,510.284,1.02289,1.74386,0.8697,0.00248,0.24167,0.17277,0.15099,0.92329,4.00791,0.86297,0.000210941,0.000210941,0.000210941
73,517.286,0.94578,1.58008,0.90098,0.00248,0.24167,0.17277,0.15099,0.92329,4.00791,0.86297,0.000206784,0.000206784,0.000206784
74,524.34,0.9088,1.58997,0.88408,0.00248,0.24167,0.17277,0.15099,0.92329,4.00791,0.86297,0.000202429,0.000202429,0.000202429
75,531.429,0.91878,1.84398,0.86997,0.00446,0.30714,0.20153,0.17356,0.93806,3.91196,0.86776,0.000197876,0.000197876,0.000197876
76,538.43,0.89541,1.71872,0.89996,0.00446,0.30714,0.20153,0.17356,0.93806,3.91196,0.86776,0.000193125,0.000193125,0.000193125
77,545.473,0.94431,1.58827,0.93159,0.00446,0.30714,0.20153,0.17356,0.93806,3.91196,0.86776,0.000188176,0.000188176,0.000188176
78,552.479,1.03783,1.96024,0.91209,1,0.05592,0.28146,0.24034,0.92841,3.85119,0.86997,0.000183029,0.000183029,0.000183029
79,559.457,1.02579,1.80545,0.91578,1,0.05592,0.28146,0.24034,0.92841,3.85119,0.86997,0.000177684,0.000177684,0.000177684
80,566.438,0.92861,1.75177,0.90638,1,0.05592,0.28146,0.24034,0.92841,3.85119,0.86997,0.000172141,0.000172141,0.000172141
81,573.596,1.00011,1.7477,0.884,1,0.03113,0.39087,0.32387,0.91558,3.75835,0.86549,0.0001664,0.0001664,0.0001664
82,580.726,0.98041,1.70565,0.86741,1,0.03113,0.39087,0.32387,0.91558,3.75835,0.86549,0.000160461,0.000160461,0.000160461
83,587.818,1.04133,1.67855,0.98703,1,0.03113,0.39087,0.32387,0.91558,3.75835,0.86549,0.000154324,0.000154324,0.000154324
84,594.845,0.98067,1.82997,0.91746,1,0.03035,0.50108,0.41047,0.88101,3.6765,0.85458,0.000147989,0.000147989,0.000147989
85,601.901,0.98332,1.77874,0.90258,1,0.03035,0.50108,0.41047,0.88101,3.6765,0.85458,0.000141456,0.000141456,0.000141456
86,608.89,0.90914,1.64861,0.90427,1,0.03035,0.50108,0.41047,0.88101,3.6765,0.85458,0.000134725,0.000134725,0.000134725
87,615.856,0.87311,1.65056,0.91597,1,0.03035,0.50108,0.41047,0.88101,3.6765,0.85458,0.000127796,0.000127796,0.000127796
88,622.898,0.87973,2.36432,0.93561,1,0.03215,0.61103,0.4892,0.84459,3.5651,0.84446,0.000120669,0.000120669,0.000120669
89,630.053,0.95202,1.65336,0.88377,1,0.03215,0.61103,0.4892,0.84459,3.5651,0.84446,0.000113344,0.000113344,0.000113344
90,637.063,0.9756,1.59117,0.90975,1,0.03215,0.61103,0.4892,0.84459,3.5651,0.84446,0.000105821,0.000105821,0.000105821
91,644.257,1.01649,2.3027,0.90554,1,0.03215,0.61103,0.4892,0.84459,3.5651,0.84446,9.81e-05,9.81e-05,9.81e-05
92,651.353,0.8243,1.97926,0.89542,1,0.05442,0.66302,0.53352,0.81895,3.44946,0.83956,9.0181e-05,9.0181e-05,9.0181e-05
93,658.432,0.82063,1.85247,0.9337,1,0.05442,0.66302,0.53352,0.81895,3.44946,0.83956,8.2064e-05,8.2064e-05,8.2064e-05
94,665.572,1.11169,2.64424,0.89757,1,0.05442,0.66302,0.53352,0.81895,3.44946,0.83956,7.3749e-05,7.3749e-05,7.3749e-05
95,672.579,0.94029,2.06337,0.8989,1,0.05442,0.66302,0.53352,0.81895,3.44946,0.83956,6.5236e-05,6.5236e-05,6.5236e-05
96,679.528,0.93023,2.11507,0.91066,1,0.13528,0.68629,0.54106,0.80135,3.32256,0.83812,5.6525e-05,5.6525e-05,5.6525e-05
97,686.447,0.88529,2.00127,0.89559,1,0.13528,0.68629,0.54106,0.80135,3.32256,0.83812,4.7616e-05,4.7616e-05,4.7616e-05
98,693.395,1.0479,2.41442,0.90414,1,0.13528,0.68629,0.54106,0.80135,3.32256,0.83812,3.8509e-05,3.8509e-05,3.8509e-05
99,700.396,0.8779,2.19542,0.8951,1,0.13528,0.68629,0.54106,0.80135,3.32256,0.83812,2.9204e-05,2.9204e-05,2.9204e-05
100,707.385,1.04518,2.60791,0.89366,1,0.15754,0.74635,0.57252,0.79842,3.18933,0.83744,1.9701e-05,1.9701e-05,1.9701e-05
